1;100;0.5641895835
Разбиений;Рекурсивное сложение;Двойное Рекурсивное сложение;Наивное сложение;Прореживающее сложение;Кехановское сложение;Совмещающее сложение
1160;0.0000140364;0.0000139771;0.0000136192;0.0000139768;0.0000139768;0.0000139768
1165;-0.0000276868;-0.0000277137;-0.0000278657;-0.0000276868;-0.0000276868;-0.0000276868
1170;0.0000137980;0.0000137381;0.0000134404;0.0000136788;0.0000137384;0.0000137384
1175;-0.0000272696;-0.0000272404;-0.0000273888;-0.0000272100;-0.0000272100;-0.0000272100
1180;0.0000135000;0.0000135079;0.0000132019;0.0000135000;0.0000135000;0.0000135000
1185;-0.0000267332;-0.0000267806;-0.0000266736;-0.0000267332;-0.0000267928;-0.0000267928
1190;0.0000132615;0.0000132823;0.0000136192;0.0000132615;0.0000132615;0.0000132615
1195;-0.0000263159;-0.0000263390;-0.0000270312;-0.0000263159;-0.0000263159;-0.0000263159
1200;0.0000130827;0.0000130596;0.0000128443;0.0000130827;0.0000130827;0.0000130827
1205;-0.0000258987;-0.0000259002;-0.0000260775;-0.0000258987;-0.0000258987;-0.0000258987
1210;0.0000128443;0.0000128424;0.0000127847;0.0000129039;0.0000128443;0.0000128443
1215;-0.0000255411;-0.0000254717;-0.0000257199;-0.0000255411;-0.0000254219;-0.0000254219
1220;0.0000126059;0.0000126351;0.0000123079;0.0000126655;0.0000126059;0.0000126059
1225;-0.0000250642;-0.0000250623;-0.0000253623;-0.0000250642;-0.0000250642;-0.0000250046
1230;0.0000124271;0.0000124302;0.0000122483;0.0000123675;0.0000124271;0.0000124271
1235;-0.0000245874;-0.0000246590;-0.0000248258;-0.0000247066;-0.0000246470;-0.0000246470
1240;0.0000122483;0.0000122270;0.0000117714;0.0000122483;0.0000122483;0.0000122483
1245;-0.0000242894;-0.0000242641;-0.0000241106;-0.0000242894;-0.0000242298;-0.0000242298
1250;0.0000120099;0.0000120357;0.0000121887;0.0000120695;0.0000120695;0.0000120695
1255;-0.0000238721;-0.0000238782;-0.0000245278;-0.0000238125;-0.0000238721;-0.0000238721
1260;0.0000118310;0.0000118450;0.0000114734;0.0000118310;0.0000118906;0.0000118906
1265;-0.0000235145;-0.0000234987;-0.0000235741;-0.0000235145;-0.0000235145;-0.0000235145
1270;0.0000116522;0.0000116608;0.0000114138;0.0000116522;0.0000116522;0.0000116522
1275;-0.0000231569;-0.0000231339;-0.0000229781;-0.0000230973;-0.0000230973;-0.0000230973
1280;0.0000114734;0.0000114758;0.0000111158;0.0000114734;0.0000114734;0.0000114734
1285;-0.0000227993;-0.0000227627;-0.0000230377;-0.0000226801;-0.0000227397;-0.0000227397
1290;0.0000112946;0.0000112998;0.0000110562;0.0000113542;0.0000112946;0.0000112946
1295;-0.0000224416;-0.0000224267;-0.0000225012;-0.0000224416;-0.0000224416;-0.0000224416
1300;0.0000111158;0.0000111298;0.0000105197;0.0000111754;0.0000111158;0.0000111158
1305;-0.0000220840;-0.0000220836;-0.0000223224;-0.0000221436;-0.0000220840;-0.0000220840
1310;0.0000109370;0.0000109620;0.0000106389;0.0000109370;0.0000109370;0.0000109370
1315;-0.0000217264;-0.0000217492;-0.0000219648;-0.0000217264;-0.0000217264;-0.0000217264
1320;0.0000108178;0.0000107917;0.0000104601;0.0000108178;0.0000108178;0.0000108178
1325;-0.0000214880;-0.0000214260;-0.0000219052;-0.0000214284;-0.0000214284;-0.0000214284
1330;0.0000106389;0.0000106308;0.0000104601;0.0000105793;0.0000106389;0.0000106389
1335;-0.0000210707;-0.0000211073;-0.0000212495;-0.0000210707;-0.0000211303;-0.0000211303
1340;0.0000104601;0.0000104724;0.0000102813;0.0000105197;0.0000104601;0.0000104601
1345;-0.0000207727;-0.0000207925;-0.0000208919;-0.0000207727;-0.0000207727;-0.0000207727
1350;0.0000102813;0.0000103189;0.0000099237;0.0000103409;0.0000102813;0.0000102813
1355;-0.0000204747;-0.0000204855;-0.0000206535;-0.0000205343;-0.0000205343;-0.0000205343
1360;0.0000101621;0.0000101679;0.0000099237;0.0000101621;0.0000101621;0.0000101621
1365;-0.0000201767;-0.0000201830;-0.0000207727;-0.0000201767;-0.0000201767;-0.0000201767
1370;0.0000099833;0.0000100202;0.0000101025;0.0000100429;0.0000100429;0.0000100429
1375;-0.0000198786;-0.0000198935;-0.0000198786;-0.0000198786;-0.0000198786;-0.0000198786
1380;0.0000098641;0.0000098759;0.0000100429;0.0000098641;0.0000099237;0.0000099237
1385;-0.0000195806;-0.0000196071;-0.0000199382;-0.0000195806;-0.0000195806;-0.0000195806
1390;0.0000097449;0.0000097329;0.0000095661;0.0000096853;0.0000097449;0.0000097449
1395;-0.0000193422;-0.0000193309;-0.0000197594;-0.0000193422;-0.0000193422;-0.0000193422
1400;0.0000095661;0.0000095938;0.0000095661;0.0000096257;0.0000095661;0.0000095661
1405;-0.0000190442;-0.0000190508;-0.0000189846;-0.0000189846;-0.0000190442;-0.0000190442
1410;0.0000094469;0.0000094620;0.0000093872;0.0000095065;0.0000095065;0.0000095065
1415;-0.0000187461;-0.0000187865;-0.0000191038;-0.0000187461;-0.0000187461;-0.0000187461
1420;0.0000093276;0.0000093237;0.0000093276;0.0000093276;0.0000093276;0.0000093276
1425;-0.0000185077;-0.0000185210;-0.0000184481;-0.0000185077;-0.0000185673;-0.0000185077
1430;0.0000091488;0.0000091973;0.0000088508;0.0000092084;0.0000092084;0.0000092084
1435;-0.0000182693;-0.0000182643;-0.0000187461;-0.0000182693;-0.0000182693;-0.0000182693
1440;0.0000090296;0.0000090683;0.0000087316;0.0000090892;0.0000090892;0.0000090892
1445;-0.0000180309;-0.0000180144;-0.0000179713;-0.0000180309;-0.0000180309;-0.0000180309
1450;0.0000089104;0.0000089481;0.0000092084;0.0000089104;0.0000089104;0.0000089104
1455;-0.0000177925;-0.0000177681;-0.0000179713;-0.0000177329;-0.0000177925;-0.0000177925
1460;0.0000087912;0.0000088205;0.0000086124;0.0000087912;0.0000088508;0.0000088508
1465;-0.0000175541;-0.0000175241;-0.0000182693;-0.0000175541;-0.0000175541;-0.0000175541
1470;0.0000086720;0.0000087034;0.0000086720;0.0000086720;0.0000086720;0.0000086720
1475;-0.0000173156;-0.0000172864;-0.0000172560;-0.0000172560;-0.0000172560;-0.0000172560
1480;0.0000086124;0.0000085862;0.0000082548;0.0000086124;0.0000086124;0.0000086124
1485;-0.0000170772;-0.0000170550;-0.0000168984;-0.0000171368;-0.0000170176;-0.0000170176
1490;0.0000084932;0.0000084695;0.0000083144;0.0000083740;0.0000084336;0.0000084336
1495;-0.0000168388;-0.0000168293;-0.0000174348;-0.0000168388;-0.0000168388;-0.0000168388
1500;0.0000083740;0.0000083600;0.0000084336;0.0000083740;0.0000083740;0.0000083740
1505;-0.0000166004;-0.0000166042;-0.0000168388;-0.0000166004;-0.0000166004;-0.0000166004
1510;0.0000083144;0.0000082502;0.0000080163;0.0000083144;0.0000082548;0.0000082548
1515;-0.0000164216;-0.0000163847;-0.0000165408;-0.0000163620;-0.0000163620;-0.0000163620
1520;0.0000081952;0.0000081408;0.0000082548;0.0000081355;0.0000081355;0.0000081355
1525;-0.0000161831;-0.0000161767;-0.0000166004;-0.0000161831;-0.0000161831;-0.0000161831
1530;0.0000080759;0.0000080435;0.0000078971;0.0000080163;0.0000080163;0.0000080163
1535;-0.0000160043;-0.0000159595;-0.0000161831;-0.0000159447;-0.0000159447;-0.0000159447
1540;0.0000079567;0.0000079310;0.0000080759;0.0000079567;0.0000078971;0.0000078971
1545;-0.0000157659;-0.0000157543;-0.0000156467;-0.0000157659;-0.0000157659;-0.0000157659
1550;0.0000078375;0.0000078271;0.0000075991;0.0000078375;0.0000078375;0.0000078375
1555;-0.0000155275;-0.0000155548;-0.0000155871;-0.0000155275;-0.0000155275;-0.0000155275
1560;0.0000077183;0.0000077315;0.0000070627;0.0000077183;0.0000077183;0.0000077183
1565;-0.0000154083;-0.0000153600;-0.0000156467;-0.0000154083;-0.0000153487;-0.0000153487
1570;0.0000076587;0.0000076297;0.0000072415;0.0000075991;0.0000076587;0.0000076587
1575;-0.0000151699;-0.0000151628;-0.0000152891;-0.0000151103;-0.0000151699;-0.0000151699
1580;0.0000074799;0.0000075333;0.0000075991;0.0000075395;0.0000075395;0.0000075395
1585;-0.0000149314;-0.0000149691;-0.0000153487;-0.0000150507;-0.0000149314;-0.0000149314
1590;0.0000074203;0.0000074371;0.0000071223;0.0000074203;0.0000074203;0.0000074203
1595;-0.0000148122;-0.0000147818;-0.0000148718;-0.0000148122;-0.0000147526;-0.0000147526
1600;0.0000073607;0.0000073457;0.0000071819;0.0000073011;0.0000073607;0.0000073607
1605;-0.0000145738;-0.0000145990;-0.0000148718;-0.0000145738;-0.0000146334;-0.0000146334
1610;0.0000072415;0.0000072545;0.0000068242;0.0000073011;0.0000072415;0.0000072415
1615;-0.0000144546;-0.0000144204;-0.0000148718;-0.0000143950;-0.0000144546;-0.0000144546
1620;0.0000071819;0.0000071650;0.0000072415;0.0000071819;0.0000071819;0.0000071819
1625;-0.0000142162;-0.0000142463;-0.0000140970;-0.0000142162;-0.0000142758;-0.0000142758
1630;0.0000071223;0.0000070799;0.0000065858;0.0000070627;0.0000070627;0.0000070627
1635;-0.0000140970;-0.0000140668;-0.0000145738;-0.0000140970;-0.0000140970;-0.0000140970
1640;0.0000070031;0.0000069905;0.0000065262;0.0000069435;0.0000070031;0.0000070031
1645;-0.0000139182;-0.0000138987;-0.0000137990;-0.0000139182;-0.0000139182;-0.0000139182
1650;0.0000068839;0.0000069063;0.0000067646;0.0000068839;0.0000068839;0.0000068839
1655;-0.0000137394;-0.0000137312;-0.0000139182;-0.0000137394;-0.0000137394;-0.0000137394
1660;0.0000068242;0.0000068251;0.0000069435;0.0000068242;0.0000068242;0.0000068242
1665;-0.0000135605;-0.0000135651;-0.0000133817;-0.0000135605;-0.0000135605;-0.0000135605
1670;0.0000067646;0.0000067431;0.0000062878;0.0000067646;0.0000067050;0.0000067050
1675;-0.0000134413;-0.0000134055;-0.0000135009;-0.0000133817;-0.0000133817;-0.0000133817
1680;0.0000066454;0.0000066626;0.0000064070;0.0000066454;0.0000066454;0.0000066454
1685;-0.0000132625;-0.0000132476;-0.0000137394;-0.0000132625;-0.0000132625;-0.0000132625
1690;0.0000065858;0.0000065850;0.0000065858;0.0000065858;0.0000065858;0.0000065858
1695;-0.0000130837;-0.0000130913;-0.0000130837;-0.0000130837;-0.0000130837;-0.0000130837
1700;0.0000065262;0.0000065080;0.0000065262;0.0000064666;0.0000064666;0.0000064666
1705;-0.0000129049;-0.0000129347;-0.0000134413;-0.0000129049;-0.0000129645;-0.0000129645
1710;0.0000064070;0.0000064328;0.0000062282;0.0000064666;0.0000064070;0.0000064070
1715;-0.0000127857;-0.0000127860;-0.0000129049;-0.0000127261;-0.0000127857;-0.0000127857
1720;0.0000063474;0.0000063562;0.0000061686;0.0000062878;0.0000063474;0.0000063474
1725;-0.0000126069;-0.0000126390;-0.0000122492;-0.0000126665;-0.0000126665;-0.0000126665
1730;0.0000062878;0.0000062844;0.0000062282;0.0000062282;0.0000062878;0.0000062878
1735;-0.0000125473;-0.0000124920;-0.0000124877;-0.0000125473;-0.0000124877;-0.0000124877
1740;0.0000061686;0.0000062072;0.0000062282;0.0000062282;0.0000062282;0.0000062282
1745;-0.0000123088;-0.0000123489;-0.0000127857;-0.0000123088;-0.0000123684;-0.0000123684
1750;0.0000061090;0.0000061397;0.0000059898;0.0000061090;0.0000061686;0.0000061686
1755;-0.0000121896;-0.0000122114;-0.0000123088;-0.0000121896;-0.0000121896;-0.0000121896
1760;0.0000060494;0.0000060705;0.0000060494;0.0000059898;0.0000060494;0.0000060494
1765;-0.0000120704;-0.0000120708;-0.0000123684;-0.0000120704;-0.0000120704;-0.0000120704
1770;0.0000059898;0.0000060043;0.0000059302;0.0000059898;0.0000059898;0.0000059898
1775;-0.0000119512;-0.0000119366;-0.0000120704;-0.0000118916;-0.0000119512;-0.0000119512
1780;0.0000059302;0.0000059380;0.0000059302;0.0000059302;0.0000059302;0.0000059302
1785;-0.0000118320;-0.0000118055;-0.0000120704;-0.0000117724;-0.0000117724;-0.0000117724
1790;0.0000058110;0.0000058711;0.0000056918;0.0000059302;0.0000058706;0.0000058706
1795;-0.0000117128;-0.0000116738;-0.0000123088;-0.0000116532;-0.0000116532;-0.0000116532
1800;0.0000058110;0.0000058029;0.0000056918;0.0000058110;0.0000058110;0.0000058110
1805;-0.0000115936;-0.0000115424;-0.0000115936;-0.0000115340;-0.0000115340;-0.0000115340
1810;0.0000057514;0.0000057425;0.0000057514;0.0000057514;0.0000057514;0.0000057514
1815;-0.0000114744;-0.0000114189;-0.0000115340;-0.0000114148;-0.0000114148;-0.0000114148
1820;0.0000056918;0.0000056780;0.0000056918;0.0000056918;0.0000056918;0.0000056918
1825;-0.0000112956;-0.0000112909;-0.0000114148;-0.0000112956;-0.0000112956;-0.0000112956
1830;0.0000056918;0.0000056136;0.0000055129;0.0000056322;0.0000056322;0.0000056322
1835;-0.0000111764;-0.0000111695;-0.0000113552;-0.0000111764;-0.0000111764;-0.0000111764
1840;0.0000055725;0.0000055540;0.0000052149;0.0000055129;0.0000055725;0.0000055725
1845;-0.0000109975;-0.0000110496;-0.0000112956;-0.0000109975;-0.0000110571;-0.0000110571
1850;0.0000054533;0.0000054967;0.0000055725;0.0000054533;0.0000055129;0.0000055129
1855;-0.0000109379;-0.0000109318;-0.0000112360;-0.0000109379;-0.0000109379;-0.0000109379
1860;0.0000054533;0.0000054338;0.0000052745;0.0000053937;0.0000053937;0.0000053937
1865;-0.0000108187;-0.0000108132;-0.0000112360;-0.0000108187;-0.0000108187;-0.0000108187
1870;0.0000053341;0.0000053775;0.0000054533;0.0000053341;0.0000053937;0.0000053937
1875;-0.0000106995;-0.0000106967;-0.0000109379;-0.0000107591;-0.0000106995;-0.0000106995
1880;0.0000053341;0.0000053229;0.0000050361;0.0000052745;0.0000053341;0.0000053341
1885;-0.0000105803;-0.0000105855;-0.0000108187;-0.0000106399;-0.0000105803;-0.0000105803
1890;0.0000052745;0.0000052685;0.0000052745;0.0000052745;0.0000052745;0.0000052745
1895;-0.0000104611;-0.0000104702;-0.0000108783;-0.0000104611;-0.0000104611;-0.0000104611
1900;0.0000052149;0.0000052074;0.0000047977;0.0000052149;0.0000052149;0.0000052149
1905;-0.0000104015;-0.0000103656;-0.0000105803;-0.0000103419;-0.0000103419;-0.0000103419
1910;0.0000050957;0.0000051541;0.0000047381;0.0000051553;0.0000051553;0.0000051553
1915;-0.0000102823;-0.0000102574;-0.0000103419;-0.0000102227;-0.0000102823;-0.0000102823
1920;0.0000050957;0.0000050993;0.0000047977;0.0000050957;0.0000050957;0.0000050957
1925;-0.0000101631;-0.0000101481;-0.0000101035;-0.0000101631;-0.0000101631;-0.0000101631
1930;0.0000050361;0.0000050501;0.0000052149;0.0000050957;0.0000050361;0.0000050361
1935;-0.0000100439;-0.0000100436;-0.0000099843;-0.0000101035;-0.0000100439;-0.0000100439
1940;0.0000049765;0.0000049998;0.0000046189;0.0000050361;0.0000049765;0.0000049765
1945;-0.0000099247;-0.0000099422;-0.0000102227;-0.0000099247;-0.0000099247;-0.0000099247
1950;0.0000049765;0.0000049486;0.0000044997;0.0000049169;0.0000049169;0.0000049169
1955;-0.0000098054;-0.0000098390;-0.0000097458;-0.0000098054;-0.0000098054;-0.0000098054
1960;0.0000048573;0.0000048964;0.0000047977;0.0000049169;0.0000049169;0.0000049169
1965;-0.0000097458;-0.0000097403;-0.0000100439;-0.0000097458;-0.0000097458;-0.0000097458
1970;0.0000048573;0.0000048473;0.0000045593;0.0000048573;0.0000048573;0.0000048573
1975;-0.0000096862;-0.0000096423;-0.0000100439;-0.0000096266;-0.0000096266;-0.0000096266
1980;0.0000047977;0.0000047976;0.0000050361;0.0000048573;0.0000047977;0.0000047977
1985;-0.0000095670;-0.0000095423;-0.0000093882;-0.0000095670;-0.0000095074;-0.0000095670
1990;0.0000047381;0.0000047489;0.0000045593;0.0000047381;0.0000047381;0.0000047381
1995;-0.0000094478;-0.0000094504;-0.0000098054;-0.0000094478;-0.0000094478;-0.0000094478
2000;0.0000046785;0.0000046998;0.0000044997;0.0000047381;0.0000046785;0.0000046785
2005;-0.0000093882;-0.0000093531;-0.0000094478;-0.0000093286;-0.0000093286;-0.0000093286
2010;0.0000046785;0.0000046542;0.0000042016;0.0000046785;0.0000046785;0.0000046785
2015;-0.0000092094;-0.0000092635;-0.0000094478;-0.0000093286;-0.0000092690;-0.0000092690
2020;0.0000046189;0.0000046095;0.0000046785;0.0000045593;0.0000046189;0.0000046189
2025;-0.0000091498;-0.0000091697;-0.0000093286;-0.0000091498;-0.0000091498;-0.0000091498
2030;0.0000046189;0.0000045671;0.0000042612;0.0000045593;0.0000045593;0.0000045593
2035;-0.0000090902;-0.0000090818;-0.0000092690;-0.0000090902;-0.0000090902;-0.0000090902
2040;0.0000044997;0.0000045186;0.0000041420;0.0000045593;0.0000045593;0.0000044997
2045;-0.0000089710;-0.0000089948;-0.0000095074;-0.0000090306;-0.0000090306;-0.0000090306
2050;0.0000044997;0.0000044787;0.0000042016;0.0000044997;0.0000044997;0.0000044997
2055;-0.0000089114;-0.0000089070;-0.0000085538;-0.0000089114;-0.0000089114;-0.0000089114
2060;0.0000044401;0.0000044351;0.0000041420;0.0000044401;0.0000044401;0.0000044401
2065;-0.0000088518;-0.0000088191;-0.0000090306;-0.0000087922;-0.0000087922;-0.0000087922
2070;0.0000043805;0.0000043894;0.0000043805;0.0000043805;0.0000043805;0.0000043805
2075;-0.0000087326;-0.0000087360;-0.0000087922;-0.0000087326;-0.0000087326;-0.0000087326
2080;0.0000043209;0.0000043485;0.0000042612;0.0000043209;0.0000043209;0.0000043209
2085;-0.0000086730;-0.0000086492;-0.0000087326;-0.0000086730;-0.0000086730;-0.0000086730
2090;0.0000042612;0.0000043048;0.0000042612;0.0000043209;0.0000043209;0.0000043209
2095;-0.0000086134;-0.0000085663;-0.0000089710;-0.0000085538;-0.0000085538;-0.0000085538
2100;0.0000042612;0.0000042648;0.0000041420;0.0000042612;0.0000042612;0.0000042612
2105;-0.0000084941;-0.0000084865;-0.0000088518;-0.0000084941;-0.0000084941;-0.0000084941
2110;0.0000042016;0.0000042247;0.0000040228;0.0000042016;0.0000042612;0.0000042612
2115;-0.0000083749;-0.0000084103;-0.0000085538;-0.0000084345;-0.0000084345;-0.0000084345
2120;0.0000041420;0.0000041847;0.0000043805;0.0000042016;0.0000042016;0.0000042016
2125;-0.0000083749;-0.0000083290;-0.0000084941;-0.0000083153;-0.0000083153;-0.0000083153
2130;0.0000041420;0.0000041452;0.0000038440;0.0000041420;0.0000041420;0.0000041420
2135;-0.0000082557;-0.0000082461;-0.0000081365;-0.0000081961;-0.0000082557;-0.0000082557
2140;0.0000041420;0.0000041059;0.0000039632;0.0000040824;0.0000040824;0.0000041420
2145;-0.0000081961;-0.0000081738;-0.0000086134;-0.0000081365;-0.0000081961;-0.0000081961
2150;0.0000040824;0.0000040701;0.0000042016;0.0000040824;0.0000040824;0.0000040824
2155;-0.0000080769;-0.0000080949;-0.0000081365;-0.0000081365;-0.0000080769;-0.0000080769
2160;0.0000040228;0.0000040335;0.0000039632;0.0000040228;0.0000040228;0.0000040228
2165;-0.0000080173;-0.0000080252;-0.0000081365;-0.0000080173;-0.0000080173;-0.0000080173
2170;0.0000040228;0.0000039959;0.0000040228;0.0000040228;0.0000040228;0.0000040228
2175;-0.0000079577;-0.0000079509;-0.0000082557;-0.0000080173;-0.0000079577;-0.0000079577
2180;0.0000039632;0.0000039569;0.0000040228;0.0000039632;0.0000039632;0.0000039632
2185;-0.0000078981;-0.0000078785;-0.0000079577;-0.0000078385;-0.0000078981;-0.0000078385
2190;0.0000039036;0.0000039215;0.0000039036;0.0000039036;0.0000039036;0.0000039036
2195;-0.0000077789;-0.0000078047;-0.0000079577;-0.0000078385;-0.0000077789;-0.0000077789
2200;0.0000038440;0.0000038857;0.0000033672;0.0000038440;0.0000039036;0.0000039036
2205;-0.0000077789;-0.0000077359;-0.0000076001;-0.0000077193;-0.0000077789;-0.0000077193
2210;0.0000038440;0.0000038547;0.0000036056;0.0000038440;0.0000038440;0.0000038440
2215;-0.0000077193;-0.0000076664;-0.0000078981;-0.0000076001;-0.0000076597;-0.0000076597
2220;0.0000037844;0.0000038145;0.0000034864;0.0000037844;0.0000037844;0.0000037844
2225;-0.0000076001;-0.0000075987;-0.0000077789;-0.0000076001;-0.0000076001;-0.0000076001
2230;0.0000037844;0.0000037845;0.0000034268;0.0000037844;0.0000037844;0.0000037844
2235;-0.0000075405;-0.0000075292;-0.0000077789;-0.0000075405;-0.0000075405;-0.0000075405
2240;0.0000037248;0.0000037494;0.0000033672;0.0000037844;0.0000037844;0.0000037844
2245;-0.0000074213;-0.0000074621;-0.0000077193;-0.0000074213;-0.0000074809;-0.0000074809
2250;0.0000037248;0.0000037138;0.0000036056;0.0000036652;0.0000037248;0.0000037248
2255;-0.0000074213;-0.0000073950;-0.0000080173;-0.0000074213;-0.0000074213;-0.0000074213
2260;0.0000036652;0.0000036836;0.0000031884;0.0000037248;0.0000036652;0.0000036652
2265;-0.0000073021;-0.0000073349;-0.0000073617;-0.0000073617;-0.0000073617;-0.0000073617
2270;0.0000036652;0.0000036499;0.0000033076;0.0000036652;0.0000036652;0.0000036652
2275;-0.0000072424;-0.0000072622;-0.0000076001;-0.0000072424;-0.0000072424;-0.0000072424
2280;0.0000036056;0.0000036166;0.0000036652;0.0000036056;0.0000036056;0.0000036056
2285;-0.0000071828;-0.0000072050;-0.0000076597;-0.0000071828;-0.0000072424;-0.0000071828
2290;0.0000035460;0.0000035862;0.0000031884;0.0000035460;0.0000036056;0.0000036056
2295;-0.0000071232;-0.0000071387;-0.0000071232;-0.0000071232;-0.0000071232;-0.0000071232
2300;0.0000035460;0.0000035535;0.0000031288;0.0000036056;0.0000036056;0.0000036056
2305;-0.0000071232;-0.0000070785;-0.0000075405;-0.0000071232;-0.0000070636;-0.0000070636
2310;0.0000035460;0.0000035267;0.0000030095;0.0000035460;0.0000035460;0.0000035460
2315;-0.0000070636;-0.0000070169;-0.0000071828;-0.0000070636;-0.0000070636;-0.0000070636
2320;0.0000034864;0.0000034935;0.0000027711;0.0000034864;0.0000034864;0.0000034864
2325;-0.0000069444;-0.0000069567;-0.0000070636;-0.0000069444;-0.0000069444;-0.0000069444
2330;0.0000034268;0.0000034637;0.0000028307;0.0000034864;0.0000034864;0.0000034864
2335;-0.0000069444;-0.0000068964;-0.0000069444;-0.0000068848;-0.0000068848;-0.0000068848
2340;0.0000034268;0.0000034335;0.0000033076;0.0000034268;0.0000034268;0.0000034268
2345;-0.0000068252;-0.0000068396;-0.0000070040;-0.0000068252;-0.0000068252;-0.0000068848
2350;0.0000033672;0.0000034061;0.0000028903;0.0000034268;0.0000034268;0.0000034268
2355;-0.0000067060;-0.0000067790;-0.0000068252;-0.0000067656;-0.0000067656;-0.0000067656
2360;0.0000034268;0.0000033787;0.0000032480;0.0000033076;0.0000033672;0.0000033672
2365;-0.0000067060;-0.0000067204;-0.0000071828;-0.0000066464;-0.0000067656;-0.0000067656
2370;0.0000033076;0.0000033482;0.0000025327;0.0000033672;0.0000033672;0.0000033672
2375;-0.0000067060;-0.0000066653;-0.0000071232;-0.0000066464;-0.0000066464;-0.0000066464
2380;0.0000033076;0.0000033207;0.0000029499;0.0000033672;0.0000033672;0.0000033672
2385;-0.0000065868;-0.0000066107;-0.0000071232;-0.0000066464;-0.0000065868;-0.0000065868
2390;0.0000033076;0.0000032925;0.0000030692;0.0000033076;0.0000033076;0.0000033076
2395;-0.0000065868;-0.0000065558;-0.0000064080;-0.0000065868;-0.0000065868;-0.0000065868
2400;0.0000033076;0.0000032648;0.0000030095;0.0000031884;0.0000033076;0.0000033076
2405;-0.0000064676;-0.0000065011;-0.0000064676;-0.0000065272;-0.0000064676;-0.0000064676
2410;0.0000032480;0.0000032391;0.0000024135;0.0000033076;0.0000032480;0.0000032480
2415;-0.0000064676;-0.0000064494;-0.0000068252;-0.0000063484;-0.0000064080;-0.0000064080
2420;0.0000032480;0.0000032088;0.0000033076;0.0000032480;0.0000032480;0.0000032480
2425;-0.0000064080;-0.0000063934;-0.0000062888;-0.0000064676;-0.0000063484;-0.0000063484
2430;0.0000031884;0.0000031882;0.0000027711;0.0000031884;0.0000031884;0.0000031884
2435;-0.0000063484;-0.0000063428;-0.0000076597;-0.0000063484;-0.0000063484;-0.0000063484
